text,label
"Summary: Experienced software engineer with 5+ years in backend development and cloud systems. Skills: Python, Django, FastAPI, AWS, Docker, PostgreSQL. Experience: Built scalable REST APIs, optimized DB queries, deployed microservices on AWS ECS. Projects: E-commerce backend, CI/CD pipelines. Education: B.Tech in Computer Science. Certifications: AWS Developer Associate.",good
"Summary: Motivated frontend developer with strong UI/UX understanding. Skills: React, Next.js, TypeScript, TailwindCSS, Figma. Experience: Developed responsive dashboards and improved Web Vitals. Projects: Portfolio site, analytics dashboard. Education: B.Sc IT. Certifications: Meta Frontend Cert.",good
"Summary: Data scientist with strong ML and NLP foundation. Skills: Python, TensorFlow, PyTorch, sklearn, NLP, Pandas. Experience: Built classification models, deployed ML pipelines. Projects: Resume classifier, sentiment analyzer. Education: M.Tech AI. Certifications: TensorFlow Developer.",good
"Summary: DevOps engineer with experience in automation and container orchestration. Skills: Docker, Kubernetes, Terraform, AWS, CI/CD. Experience: Managed infrastructure as code, deployed microservices. Projects: K8s cluster setup, monitoring dashboards. Education: B.Tech CSE. Certifications: CKA.",good
"Summary: Undergraduate with basic computer knowledge looking for any job. Skills: MS Word, browsing. Experience: None. Projects: None. Education: 12th pass. Certifications: None.",bad
"Summary: Fresher resume with little detail. Skills: Basic typing. Experience: No corporate experience. Projects: None. Education: High school. Certifications: None.",bad
"Summary: Highly skilled ML engineer with 3+ years experience. Skills: Python, PyTorch, HuggingFace, MLOps, Docker, AWS Sagemaker. Experience: Fine-tuned LLMs, built embeddings search systems. Projects: Chatbot pipeline, vector DB implementation. Education: B.Tech AI. Certifications: DeepLearning.AI.",good
"Summary: Cloud engineer specialized in AWS infrastructure. Skills: EC2, S3, RDS, Lambda, IAM, Terraform. Experience: Designed secure cloud architectures. Projects: Serverless API, data ingestion pipelines. Education: B.Tech. Certifications: AWS Solutions Architect.",good
"Summary: Marketing executive with strong digital strategies background. Skills: SEO, SEM, Google Ads, Analytics, Content Writing. Experience: Increased traffic 250% for clients. Projects: Campaign optimization. Education: MBA Marketing. Certifications: Google Ads.",good
"Summary: Student resume missing key sections and no contact info. Skills: HTML basics. Experience: School project. Education: High school. Certifications: None.",bad
"Summary: Product manager with strong problem-solving skills. Skills: Roadmapping, Agile, Jira, A/B testing, Analytics. Experience: Launched SaaS product features. Projects: User research study. Education: B.Tech + MBA. Certifications: Scrum Master.",good
"Summary: Graphic designer passionate about aesthetics. Skills: Photoshop, Illustrator, Figma. Experience: Designed social media posts. Projects: Branding kit. Education: Diploma Design. Certifications: Adobe Certified.",good
"Summary: Random text unrelated to resume professional experience. Skills: none listed. Experience: none provided. Education: unclear. Certifications: none.",bad
"Summary: HR professional with recruitment expertise. Skills: ATS tools, onboarding, employee engagement. Experience: Led hiring drives. Projects: HRIS migration. Education: MBA HR. Certifications: HR Analytics.",good
"Summary: Finance analyst with strong analytics ability. Skills: Excel, SQL, Tableau, budgeting. Experience: Created financial models. Projects: Forecast dashboard. Education: B.Com Finance. Certifications: CFA Level 1.",good
"Summary: Teacher without clear sections or achievements. Skills: teaching. Experience: taught classes. Education: B.Ed. Certifications: None.",bad
"Summary: Full-stack developer with strong problem-solving skills. Skills: MERN stack, Docker, Redis. Experience: Built scalable web apps. Projects: Chat app, payment integration. Education: B.Tech CSE. Certifications: Full-Stack Course.",good
"Summary: AI researcher with interest in deep learning. Skills: Python, PyTorch, GANs, CNN, NLP. Experience: Research intern. Projects: Object detection model. Education: M.Tech AI. Certifications: ML Specialization.",good
"Summary: Resume with emojis 😂😂 and no professional detail. Skills: none. Experience: none. Projects: none. Education: none.",bad
"Summary: Cybersecurity analyst with blue-team experience. Skills: SIEM, SOC, Nmap, Wireshark, Splunk. Experience: Incident response handling. Projects: Threat detection automation. Education: B.Tech Cybersecurity. Certifications: CEH.",good
"Summary: Architect with design experience. Skills: AutoCAD, Revit, 3D modeling. Experience: Residential projects. Education: B.Arch. Certifications: Architecture license.",good
"Summary: Content writer with strong communication skills. Skills: SEO writing, blogs, scripts. Experience: Freelance writing. Projects: Blog series. Education: BA English. Certifications: Content Marketing.",good
"Summary: Operations manager with leadership skills. Skills: Planning, resource allocation, logistics. Experience: Handled large teams. Projects: Operational automation. Education: MBA Operations. Certifications: Six Sigma.",good
"Summary: Student resume with extremely short content and no sections. Skills: none. Experience: none. Education: none.",bad
"Summary: Backend Java engineer with API development expertise. Skills: Java, Spring Boot, MySQL, Docker. Experience: Built enterprise APIs. Projects: Billing system. Education: B.Tech CSE. Certifications: Java SE.",good
"Summary: Android developer with app store deployments. Skills: Kotlin, Java, Android SDK, Firebase. Experience: Built mobile apps. Projects: Fitness app. Education: B.Tech CSE. Certifications: Android Developer.",good
"Summary: Person seeking job with no clear description. Skills: none. Experience: none. Education: not mentioned. Certifications: none.",bad
"Summary: Video editor with creative storytelling ability. Skills: Premiere Pro, After Effects. Experience: Short films editing. Projects: Ad film. Education: BA Film Studies. Certifications: Video Editing Cert.",good
